city,lat,lon,weather,temperature,id,overall_rank,availability,name,tag
Strasbourg,48.584614,7.7507127,clear sky,27.23,442877,8.600000381469727,True,Best Western Plus Hotel Villa D'est,"Hôtel 4 étoiles à proximité de Strasbourg Christmas Market, en liaison directe avec le centre des congrès et disposant d'un bar/lounge
"
Strasbourg,48.584614,7.7507127,clear sky,27.23,44894,7.800000190734863,True,Hotel Kaijoo by HappyCulture,"Hôtel 4 étoiles avec un bar/salon - Place de la Gare à 0,6 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,5189594,8.0,True,Appart'City Confort Strasbourg Centre,Appartements au centre-ville avec kitchenettes 
Strasbourg,48.584614,7.7507127,clear sky,27.23,4395192,9.0,True,Romantikhotel Rebstock art & design,Hôtel de luxe à Kehl avec un restaurant 
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,18915642,9.199999809265137,True,OKKO Hotels Strasbourg Centre,"Hôtel 4 étoiles avec un restaurant - Cathédrale Notre-Dame de Strasbourg à 1,7 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,32395570,9.199999809265137,True,K Hotel,"Hôtel 3 étoiles avec un bar/salon - Zénith de Strasbourg à 2,5 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,53440,7.800000190734863,True,7Hotel&Spa,Hôtel 4 étoiles à Illkirch-Graffenstaden avec un spa et une piscine couverte 
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,438103,9.0,True,ClapClap Hôtel,"Hôtel 3 étoiles avec un restaurant - Place Kléber à 0,7 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,35371393,8.800000190734863,True,Garrigae Villa La Florangerie,"Hôtel 4 étoiles avec un spa proposant des soins complets - Cathédrale Notre-Dame de Strasbourg à 2,2 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,57146852,9.0,True,Aloft Strasbourg Etoile,"Hôtel 4 étoiles avec un bar/salon - Cathédrale Notre-Dame de Strasbourg à 1,2 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,1383203,8.600000381469727,True,Hôtel Diana Restaurant & Spa,"Hôtel au bord de l'eau avec un spa proposant des soins complets - Office de Tourisme Region Molsheim-Mutzig à 0,6 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,4071734,8.800000190734863,True,Hotel Athena Spa,"Hôtel 4 étoiles avec un spa proposant des soins complets - Place de la Gare à 2,9 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,127230,9.399999618530273,True,"Maison Rouge Strasbourg Hotel&Spa, Autograph Collection",Hôtel pour la clientèle LGBTQIA+ à Strasbourg avec un spa et un restaurant 
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,53619,8.199999809265137,True,Hotel Cathedrale,"Hôtel 4 étoiles avec un bar/salon - Cathédrale Notre-Dame de Strasbourg à 0,1 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,7431606,8.600000381469727,True,"Holiday Inn Express Strasbourg - Centre, an IHG Hotel","Hôtel 3 étoiles avec un bar/salon - Musée alsacien à 1,2 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,442877,8.600000381469727,True,Best Western Plus Hotel Villa D'est,"Hôtel 4 étoiles à proximité de Strasbourg Christmas Market, en liaison directe avec le centre des congrès et disposant d'un bar/lounge
"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,44894,7.800000190734863,True,Hotel Kaijoo by HappyCulture,"Hôtel 4 étoiles avec un bar/salon - Place de la Gare à 0,6 km"
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,5189594,8.0,True,Appart'City Confort Strasbourg Centre,Appartements au centre-ville avec kitchenettes 
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky,23.26,4395192,9.0,True,Romantikhotel Rebstock art & design,Hôtel de luxe à Kehl avec un restaurant 
Colmar,48.0777517,7.3579641,clear sky,26.46,1527011,7.0,True,"The Originals Access, Hôtel Colmar Gare",Centre-ville de Colmar : hôtel au centre-ville avec un bar/salon 
Colmar,48.0777517,7.3579641,clear sky,26.46,2693894,8.399999618530273,True,Rapp'Hôtel,Hôtel 4 étoiles dans le quartier de Centre-ville de Colmar avec une piscine couverte et un restaurant 
Colmar,48.0777517,7.3579641,clear sky,26.46,4231374,9.0,True,B&B Hotel Colmar Liberté,Hôtel de luxe à Colmar avec un bar/salon 
Colmar,48.0777517,7.3579641,clear sky,26.46,174835,9.600000381469727,True,L'Esquisse Hotel & Spa Colmar  - MGallery,Hôtel de luxe dans le quartier de Centre-ville de Colmar avec un spa et une piscine couverte 
Colmar,48.0777517,7.3579641,clear sky,26.46,34179,7.800000190734863,True,Logis Hôtel Beauséjour Colmar,Hôtel 3 étoiles à Colmar avec un restaurant et un bar/salon 
Colmar,48.0777517,7.3579641,clear sky,26.46,66087379,9.0,True,MOXY Rust,"Hôtel avec un bar/salon - Parc aquatique Rulantica à 1,2 km"
Colmar,48.0777517,7.3579641,clear sky,26.46,48369,8.199999809265137,True,Dorint Thermenhotel Freiburg,Hôtel de luxe à Fribourg-en-Brisgau avec 2 piscines couvertes et un spa
Colmar,48.0777517,7.3579641,clear sky,26.46,4985866,9.0,True,Resort Barrière Ribeauvillé,Hôtel 4 étoiles à Ribeauvillé avec 2 restaurants et 2 piscines couvertes 
Colmar,48.0777517,7.3579641,clear sky,26.46,30118518,9.0,True,Best Western Plus Hotel Les Humanistes,"Hôtel 4 étoiles avec un restaurant - Parc des cigognes Cigoland à 1,2 km"
Colmar,48.0777517,7.3579641,clear sky,26.46,2487076,8.600000381469727,True,Sun Parc Hotel,Hôtel 3 étoiles proche de Parc aquatique Rulantica 
Colmar,48.0777517,7.3579641,clear sky,26.46,2542944,8.600000381469727,True,Brit Hotel et Spa COLMAR EAST,Hôtel 3 étoiles à Bischwihr avec un spa et un restaurant 
Colmar,48.0777517,7.3579641,clear sky,26.46,3848318,8.600000381469727,True,Kapuzinergarten Panoramahotel,"Hôtel très pratique pour les familles avec un spa proposant des soins complets - Kaiserstuhl à 0,1 km"
Colmar,48.0777517,7.3579641,clear sky,26.46,2685355,8.0,True,Hotel Munsch,Hôtel 3 étoiles à Saint-Hippolyte avec un domaine viticole et un restaurant 
Colmar,48.0777517,7.3579641,clear sky,26.46,1227650,8.800000190734863,True,Hotel Hirschen,Hôtel 4 étoiles à Fribourg-en-Brisgau avec 2 restaurants et un bar/salon 
Colmar,48.0777517,7.3579641,clear sky,26.46,2241278,8.800000190734863,True,"Les Violettes Hotel & SPA Alsace, BW Premier Collection",Hôtel 4 étoiles à Soultz-Haut-Rhin avec 2 restaurants et un spa
Eguisheim,48.0447968,7.3079618,clear sky,26.47,2205803,8.199999809265137,True,Pierre & Vacances Résidence Le Clos d'Eguisheim,Résidence de luxe à Eguisheim avec une piscine couverte 
Eguisheim,48.0447968,7.3079618,clear sky,26.47,4985866,9.0,True,Resort Barrière Ribeauvillé,Hôtel 4 étoiles à Ribeauvillé avec 2 restaurants et 2 piscines couvertes 
Eguisheim,48.0447968,7.3079618,clear sky,26.47,30118518,9.0,True,Best Western Plus Hotel Les Humanistes,"Hôtel 4 étoiles avec un restaurant - Parc des cigognes Cigoland à 1,2 km"
